date_of_dissection,dissector,host_species,lot_number,fish_number,date_of_collection,year,TL_mm,location_of_collection,lat,long,site_number,lat_updated,long_updated,C_mariae_total_updated,C_mariae_total,C_mariae_lips,C_mariae_body,C_mariae_throat,C_mariae_head,notes
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18223,1,4.22,1963,85,San Juan Islands,48.512542,-123.148777,1,48.5134,-123.151531,0.07317,0,0,0,0,0,Specific Location: Deadman's Cove
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18223,2,4.22,1963,66,San Juan Islands,48.512542,-123.148777,1,48.5134,-123.151531,0.07317,0,0,0,0,0,Specific Location: Deadman's Cove
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18223,3,4.22,1963,43,San Juan Islands,48.512542,-123.148777,1,48.5134,-123.151531,0.07317,0,0,0,0,0,Specific Location: Deadman's Cove
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18223,4,4.22,1963,67,San Juan Islands,48.512542,-123.148777,1,48.5134,-123.151531,0.07317,0,0,0,0,0,Specific Location: Deadman's Cove
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,14015,1,7.1,1952,79,San Juan Islands,48.538833,-123.012849,2,48.536021,-123.011183,0.07317,0,0,0,0,0,Specific Location: Friday Harbor
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,6220,1,7.11,1949,70,Friday Harbor,48.536067,-123.012912,2,48.536021,-123.011183,0.07317,0,0,0,0,0,
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,2168,1,7.25,1932,72,Lopez Islands,48.456255,-122.925596,3,48.456255,-122.925596,0,0,0,0,0,0,Specific Location: Davis Bay
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,2168,2,7.25,1932,72,Lopez Islands,48.456255,-122.925596,3,48.456255,-122.925596,0,0,0,0,0,0,Specific Location: Davis Bay
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,157119,1,8.1,2016,82,San Juan Islands,48.538833,-123.012849,2,48.536021,-123.011183,0.07317,0,0,0,0,0,Specific Location: Friday Harbor
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,4674,1,2.5,1946,70,B.E Ruse Harbor,47.641289,-122.335796,4,47.641289,-122.335796,0,0,0,0,0,0,Specfic Location: North of St. James
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,43789,1,6.8,2000,84,San Juan Islands,48.512542,-123.148777,1,48.5134,-123.151531,0.07317,0,0,0,0,0,Specific Location: Dead man Cove - Specimen had been dissected already and missing a long chunk of tissue on the right side of the body located just below the dorsal spine.
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,2213,1,6.1,1932,85,San Juan Islands,48.535678,-123.0101,2,48.536021,-123.011183,0.07317,0,0,0,0,0,Specific Location: Rocky Bay
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,2213,2,6.1,1932,51,San Juan Islands,48.535678,-123.0101,2,48.536021,-123.011183,0.07317,0,0,0,0,0,Specific Location: Rocky Bay
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,2213,3,6.1,1932,52,San Juan Islands,48.535678,-123.0101,2,48.536021,-123.011183,0.07317,0,0,0,0,0,Specific Location: Rocky Bay
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,1317,1,8.6-8,1930,96,Orcas Island,48.611316,-122.840746,5,48.611316,-122.840746,0,0,0,0,0,0,Specimen was severly deteriorated 
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,5323,1,3.7,1942,54,Allens Point,47.266695,-122.702737,6,47.266695,-122.702737,0,0,0,0,0,0,Specific Location: Carr Inlet
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,5323,2,3.7,1942,49,Allens Point,47.266695,-122.702737,6,47.266695,-122.702737,0,0,0,0,0,0,Specific Location: Carr Inlet
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,5323,3,3.7,1942,72,Allens Point,47.266695,-122.702737,6,47.266695,-122.702737,0,0,0,0,0,0,Specific Location: Carr Inlet
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,14017,1,4.12,1948,10,Puget Sound,47.693677,-122.408358,7,47.693264,-122.406678,0,0,0,0,0,0,Specific Location: Between Meadow Point and Spring Beach
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18038,1,4.23,1963,20,San Juan Islands,48.623401,-123.107142,8,48.623344,-123.107111,0.07412,1,0,1,0,0,Specific Location: Limestone Point - Long white nematode (C. mariea) located ventrally just beyond the head (yolk sac location).
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18038,2,4.23,1963,23,San Juan Islands,48.623401,-123.107142,8,48.623344,-123.107111,0.07412,0,0,0,0,0,Specific Location: Limestone Point 
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18038,3,4.23,1963,24,San Juan Islands,48.623401,-123.107142,8,48.623344,-123.107111,0.07412,0,0,0,0,0,Specific Location: Limestone Point 
10.23.2018,Kara B. Skaw,Anoplarchus purpurescens,18038,4,4.23,1963,25,San Juan Islands,48.623401,-123.107142,8,48.623344,-123.107111,0.07412,0,0,0,0,0,Specific Location: Limestone Point 
