Date Examined,Lot #,Location,lat,long,year,TL_mm,C_mariae_total,Notes,,,,
25-Apr-17,25734,PS: Bainbridge Island,47.616483,-122.494344,1980,135,0,,,,,
25-Apr-17,12741,"PS: Carkeek Park, Seattle",47.713254,-122.380612,1957,150,0,,,,,
25-Apr-17,110480,"PS: Eastern North Pacific, WA",48.768,-122.7369,2004,142,0,,,,,
25-Apr-17,6102,"PS: Indianola, Port Madison",47.732442,-122.53033,1948,165,0,"Bump-cut in, nothing there",,,,
25-Apr-17,4449,"PS: Quilcene Bay, Hood Canal",47.795999,-122.856399,1937,139,0,,,,,
25-Apr-17,4715,"PS: S. Richmond Beach, Seattle",47.768865,-122.392458,1940,135,0,,,,,
25-Apr-17,4715,"PS: S. Richmond Beach, Seattle",47.768865,-122.392458,1940,163,0,,,,,
25-Apr-17,4715,"PS: S. Richmond Beach, Seattle",47.768865,-122.392458,1940,131,0,,,,,
25-Apr-17,4715,"PS: S. Richmond Beach, Seattle",47.768865,-122.392458,1940,114,0,,,,,
25-Apr-17,5640,"PS: Useless Bay, Cultus Bay",47.98237,-122.492154,1949,159,0,,,,,
25-Apr-17,25727,PS: West Point,47.661894,-122.437872,1979,145,0,,,,,
25-Apr-17,25727,PS: West Point,47.661894,-122.437872,1979,210,0,,,,,
28-Apr-17,5133,"PS: Alki Point, Seattle",47.576203,-122.422245,1941,131,0,,,,,
28-Apr-17,110481,"PS: Eastern North Pacific, WA",48.768,-122.7369,2004,141,0,,,,,
28-Apr-17,4475,PS: Edmonds Beach,47.812981,-122.386536,1939,161,0,,,,,
28-Apr-17,14830,PS: Hat Island,48.012854,-122.328957,1936,128,0,,,,,
28-Apr-17,14830,PS: Hat Island,48.012854,-122.328957,1936,134,0,,,,,
28-Apr-17,47661,PS: Myrtle Edwards Park,47.619321,-122.362371,2003,195,0,,,,,
28-Apr-17,5954,PS: Port Susan,48.148376,-122.419744,1950,130,0,,,,,
28-Apr-17,154263,PS: San Juan Islands,48.600139,-122.964145,2009,145,0,,,,,
28-Apr-17,152922,"PS: San Juan Islands, Deer Harbor",48.633259,-122.988711,2009,151,0,,,,,
28-Apr-17,5346,PS: South Richmond Bay,47.765725,-122.387828,1940,137,0,,,,,
28-Apr-17,156547,PS: West Point,47.661894,-122.437872,2016,126,0,,,,,
28-Apr-17,25768,PS: West Point,47.661894,-122.437872,1978,150,0,,,,,
2-May-17,48600,"PS: Alki Beach, Seattle",47.585916,-122.401425,1988,182,1,On anal fin,,,,
2-May-17,6109,"PS: Alki Point, Seattle",47.576203,-122.422245,1939,188,0,,,,,
2-May-17,4460,"PS: Alki Point, Seattle",47.576203,-122.422245,1938,195,0,Not in database,,,,
2-May-17,111137,"PS: Alki Point, Seattle",47.576203,-122.422245,1976,202,0,,,,,
2-May-17,16620,PS: Cultus Bay,47.905395,-122.405694,1952,186,0,,,,,
2-May-17,16620,PS: Cultus Bay,47.905395,-122.405694,1952,216,0,,,,,
2-May-17,16620,PS: Cultus Bay,47.905395,-122.405694,1952,153,0,,,,,
2-May-17,110074,"PS: Dolphin Point, Vashon Island",47.505421,-122.453837,1982,213,0,,,,,
2-May-17,110074,"PS: Dolphin Point, Vashon Island",47.505421,-122.453837,1982,196,0,,,,,
2-May-17,4922,PS: Edmonds,47.812981,-122.386536,1941,180,0,,,,,
2-May-17,4922,PS: Edmonds,47.812981,-122.386536,1941,141,0,,,,,
2-May-17,4922,PS: Edmonds,47.812981,-122.386536,1941,148,0,,,,,
2-May-17,4922,PS: Edmonds,47.812981,-122.386536,1941,224,0,,,,,
2-May-17,5522,PS: Edmonds Beach,47.812981,-122.386536,1947,199,0,,,,,
2-May-17,5522,PS: Edmonds Beach,47.812981,-122.386536,1947,168,0,,,,,
2-May-17,5522,PS: Edmonds Beach,47.812981,-122.386536,1947,130,0,,,,,
2-May-17,5522,PS: Edmonds Beach,47.812981,-122.386536,1947,125,0,,,,,
2-May-17,5522,PS: Edmonds Beach,47.812981,-122.386536,1947,129,0,,,,,
2-May-17,5484,PS: Edmonds Beach,47.812981,-122.386536,1947,142,0,,,,,
2-May-17,5484,PS: Edmonds Beach,47.812981,-122.386536,1947,128,0,Missing caudal fin,,,,
2-May-17,5484,PS: Edmonds Beach,47.812981,-122.386536,1947,120,0,,,,,
2-May-17,5515,PS: Edmonds Beach,47.812981,-122.386536,1947,157,0,,,,,
2-May-17,47662,PS: Myrtle Edwards Park,47.619321,-122.362371,2003,203,0,,,,,
2-May-17,17115,PS: Port Orchard Channel,47.546006,-122.635546,1964,215,0,,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,169,3,Located on ventral side,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,144,0,,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,165,2,Located on ventral side,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,175,5,Located ventrally and on dorsal and anal fins,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,156,5,Located ventrally,,,,
2-May-17,6070,PS: San Juan Archipelago: San Juan Island,48.600139,-122.964145,1937,161,7,"Ventrally on head, gills",,,,
2-May-17,14829,PS: San Juan Archipelago: White Rock,49.009085,-122.82097,1949,214,0,,,,,
2-May-17,25730,"PS: San Juan Island, Eagles Cove",48.459397,-123.031652,1979,161,0,,,,,
2-May-17,16695,PS: San Juan Islands,48.600139,-122.964145,1963,173,0,Bump on ventral side near tail,,,,
2-May-17,44011,PS: San Juan Islands,48.600139,-122.964145,1963,171,0,,,,,
2-May-17,110076,"PS: Seahurst, WA",47.47027,-122.370872,1983,171,1,On anal fin,,,,
5-May-17,782,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,183,0,,,,,
5-May-17,782,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,199,0,,,,,
5-May-17,112193,PS: East of Orcas Island,48.632257,-122.87801,2004,220,0,,,,,
5-May-17,10353,PS: Port Madison,47.732442,-122.53033,1949,166,0,,,,,
5-May-17,10353,PS: Port Madison,47.732442,-122.53033,1949,134,0,,,,,
5-May-17,10353,PS: Port Madison,47.732442,-122.53033,1949,253,3,On Ventral side,,,,
5-May-17,10353,PS: Port Madison,47.732442,-122.53033,1949,172,0,,,,,
5-May-17,10353,PS: Port Madison,47.732442,-122.53033,1949,146,0,,,,,
5-May-17,151563,PS: San Juan Island,48.600139,-122.964145,2011,189,0,White bumbs on ventral side-not philometra,,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,166,2,On dorsal and anal fins,,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,135,1,On dorsal fin,,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,144,0,,,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,191,0,,,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,130,4,"Located ventrally, large philometra on head",,,,
5-May-17,48356,PS: Shilshole,47.677146,-122.414327,1984,140,1,Located ventrally,,,,
5-May-17,15423,"PS: Shilshole Bay, Seattle",47.677146,-122.414327,1960,210,0,,,,,
5-May-17,151929,PS: WA,47.6953,-122.4129,2010,243,0,,,,,
9-May-17,25725,"PS: Alki Point, Seattle",47.576203,-122.422245,1979,188,0,,,,,
9-May-17,25725,"PS: Alki Point, Seattle",47.576203,-122.422245,1979,223,0,,,,,
9-May-17,25725,"PS: Alki Point, Seattle",47.576203,-122.422245,1979,202,0,,,,,
9-May-17,868,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,184,0,,,,,
9-May-17,868,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,165,0,,,,,
9-May-17,868,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,178,0,,,,,
9-May-17,868,"PS: Alki Point, Seattle",47.576203,-122.422245,1930,223,0,,,,,
9-May-17,117879,"PS: Elliott Bay, Seattle",47.604794,-122.353454,1995,249,0,,,,,
9-May-17,117879,"PS: Elliott Bay, Seattle",47.604794,-122.353454,1995,213,1,On anal fin,,,,
9-May-17,117879,"PS: Elliott Bay, Seattle",47.604794,-122.353454,1995,276,0,,,,,
9-May-17,117879,"PS: Elliott Bay, Seattle",47.604794,-122.353454,1995,206,0,,,,,
9-May-17,44006,PS: Mouth of Nisqually River,47.101286,-122.701731,1996,289,0,,,,,
9-May-17,44006,PS: Mouth of Nisqually River,47.101286,-122.701731,1996,300,1,Located on dorsal fin,,,,
9-May-17,44005,PS: Mukilteo,47.947684,-122.309945,1996,263,0,,,,,
9-May-17,44005,PS: Mukilteo,47.947684,-122.309945,1996,272,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,154,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,133,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,145,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,150,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,156,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,131,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,142,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,141,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,144,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,170,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,177,0,,,,,
9-May-17,25719,PS: Murden Cove,47.652569,-122.50813,1980,207,2,"Located ventrally, one on dorsal fin",,,,
9-May-17,25746,PS: Nisqually Bay,47.131342,-122.747884,1987,277,12,"Many large, dark philometra. Other organism attached to front",,,,
9-May-17,154467,PS: San Juan Islands,48.600139,-122.964145,2008,158,0,,,,,
9-May-17,154467,PS: San Juan Islands,48.600139,-122.964145,2008,175,0,,,,,
9-May-17,154467,PS: San Juan Islands,48.600139,-122.964145,2008,238,0,Many small bumps-cut in-no philometra,,,,
9-May-17,153578,PS: San Juan Islands: FHL,48.5363,-123.01221,2013,261,0,Many bumps-cut in-no philometra,,,,
9-May-17,110236,PS: WA,48.768,-122.7369,2004,228,0,,,,,
10-May-17,48832,"PS: Eastern North Pacific, WA",48.1748,-123.6463,2003,311,0,,,,,
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,227,4,"3 ventral, 1 dorsal",,,,
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,255,0,,,,,
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,232,6,"Ventral, one on anal fin",,,,
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,211,7,"Ventral, dorsal, anal fin",,,,
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,191,0,,,,, 
10-May-17,117892,PS: Port Madison,47.732442,-122.53033,1990,152,3,Ventral,,,,
10-May-17,16624,PS: Seattle,47.599813,-122.351631,1946,205,0,,,,,
10-May-17,16624,PS: Seattle,47.599813,-122.351631,1946,230,0,,,,,
10-May-17,16624,PS: Seattle,47.599813,-122.351631,1946,301,0,,,,,
10-May-17,110234,PS: WA,48.768,-122.7369,2004,305,0,,,,,
10-May-17,48833,PS: WA,48.1748,-123.6463,2003,298,0,,,,,
10-May-17,25726,PS: West Point,47.661894,-122.437872,1978,191,0,,,,,
10-May-17,25726,PS: West Point,47.661894,-122.437872,1978,189,0,,,,,
10-May-17,25726,PS: West Point,47.661894,-122.437872,1978,212,0,,,,,
10-May-17,25726,PS: West Point,47.661894,-122.437872,1978,185,0,,,,,
10-May-17,25726,PS: West Point,47.661894,-122.437872,1978,150,0,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,215,1,"Very dark, ventral",,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,227,1,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,260,0,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,212,0,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,242,3,"2 Ventral, 1 dorsal",,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,215,1,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,210,0,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,200,1,On anal fin,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,210,0,,,,,
10-May-17,25757,"PS: West Point, Bainbridge Island",47.663651,-122.59389,1980,215,1,,,,,
