date,code,location,PS,year,TL_mm,C_mariae_total,notes,long,lat,,,,,,
12.15.16,5829,Agate Pass,1,1950,130,0,,-122.5583,47.71997,,,,,,
12.15.16,UW026115,West Point,1,1975,139,0,Two small growths,-122.4601,47.66411,,,,,,
11.15.165,789,Alkai Point,1,1930,121,0,Tumor dorsal fin,-122.4509,47.58291,,,,,,
11.15.165,789,Alkai Point,1,1930,111,0,,-122.4509,47.58291,,,,,,
11.15.165,789,Alkai Point,1,1930,114,0,,-122.4509,47.58291,,,,,,
11.15.165,789,Alkai Point,1,1930,95,0,,-122.4509,47.58291,,,,,,
11.15.165,789,Alkai Point,1,1930,105,0,,-122.4509,47.58291,,,,,,
12.15.16,5131,Alkai Point,1,1940,156,0,,-122.4509,47.58291,,,,,,
12.15.16,5131,Alkai Point,1,1940,136,0,,-122.4509,47.58291,,,,,,
12.15.16,5131,Alkai Point,1,1940,108,0,,-122.4509,47.58291,,,,,,
12.15.16,4827,Alkai Point,1,1941,114,0,,-122.4509,47.58291,,,,,,
12.15.16,16589,Alkai Point,1,1939,116,0,,-122.4509,47.58291,,,,,,
10.25.16,4885,Alkai Point,1,1941,206,0,Tumors on dorsal and ventral,-122.4509,47.58291,,,,,,
10.25.16,4885,Alkai Point,1,1941,125,0,Two tumors,-122.4509,47.58291,,,,,,
10.25.16,4885,Alkai Point,1,1941,105,0,Developing multiple tumors,-122.4509,47.58291,,,,,,
10.19.16,4614,Ballard Locks,1,1939,160,0,,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,161,0,,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,162,0,Small lump noneyed,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,150,0,,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,155,0,,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,154,0,,-122.4112,47.67337,,,,,,
10.19.16,4614,Ballard Locks,1,1939,147,0,,-122.4112,47.67337,,,,,,
12.15.16,5053,Blue Ridge,1,1938,124,0,2 tumors. 1 tumor starting to form,-122.3934,47.70623,,,,,,
12.15.16,5053,Blue Ridge,1,1938,97,0,,-122.3934,47.70623,,,,,,
11.15.165,5532,Carkeek Park,1,1947,153,0,Tumor on opercule eyed.,-122.3893,47.72017,,,,,,
12.15.16,UW026115,West Point,1,1975,120,0,,-122.4601,47.66411,,NOTES/Calculations,,,,
10.25.16,10394,Cultus Bay,1,1952,141,0,,-122.4045,47.91081,,,,,,
10.25.16,10394,Cultus Bay,1,1952,147,0,,-122.4045,47.91081,,1938,0.707106781,1990,1.788854382,
10.25.16,10394,Cultus Bay,1,1952,134,0,,-122.4045,47.91081,,,0.25,,0.8,
11.9.16,16593,Cultus Bay,1,1952,74,0,,-122.4045,47.91081,,,,1989,0.654653671,
11.9.16,16593,Cultus Bay,1,1952,77,0,,-122.4045,47.91081,,1939,2.353393622,,0.231455025,
11.9.16,16593,Cultus Bay,1,1952,83,0,,-122.4045,47.91081,,,0.461538462,1952,0.351865775,0.133333333
11.9.16,16593,Cultus Bay,1,1952,74,0,,-122.4045,47.91081,,,,,0.090851353,
11.9.16,16593,Cultus Bay,1,1952,88,0,,-122.4045,47.91081,,1979,0.516397779,,,
11.9.16,16593,Cultus Bay,1,1952,90,0,,-122.4045,47.91081,,,0.210818511,,,
11.9.16,16593,Cultus Bay,1,1952,77,0,,-122.4045,47.91081,,,,,,
11.9.16,16593,Cultus Bay,1,1952,70,0,,-122.4045,47.91081,,1984,0.487950036,,,
12.15.16,UW026115,West Point,1,1975,111,0,,-122.4601,47.66411,,,0.17251639,,,
10.14.16,6096,Doppelmeyer Point,1,1937,129,0,,-122.9169,47.1418,,,,,,
10.14.16,6096,Doppelmeyer Point,1,1937,136,0,,-122.9169,47.1418,,1992,1.670808984,,,
10.14.16,6096,Doppelmeyer Point,1,1937,111,0,,-122.9169,47.1418,,,0.210502146,,,
10.14.16,6096,Doppelmeyer Point,1,1937,133,0,Tumor on tail,-122.9169,47.1418,,,,,,
10.14.16,6096,Doppelmeyer Point,1,1937,151,0,,-122.9169,47.1418,,2003,0.869718493,,,
10.14.16,6096,Doppelmeyer Point,1,1937,145,0,,-122.9169,47.1418,,,0.241216509,,,
10.14.16,6096,Doppelmeyer Point,1,1937,135,0,,-122.9169,47.1418,,,,,,
10.14.16,6096,Doppelmeyer Point,1,1937,122,0,,-122.9169,47.1418,,2007,0.817867693,,,
10.14.16,6096,Doppelmeyer Point,1,1937,135,0,,-122.9169,47.1418,,,0.138244872,,,
