lot_number,location,lat,long,year,TL_mm,lip,throat,head,body,C_mariae_total,notes
153577,Upright Head,48.58411667,-122.89815,2008,165,0,0,0,0,0,
153577,Upright Head,48.58411667,-122.89815,2008,85,0,0,0,0,0,
152900,San Juan,48.577,-123.05,2007,145,0,0,0,0,0,
152900,San Juan,48.577,-123.05,2007,129,0,0,0,1,1,right pect fin
152900,San Juan,48.577,-123.05,2007,122,0,0,0,0,0,
115042,Port Madison,47.676082,-122.421294,1986,185,0,0,0,0,0,
115039,Port Orchard,47.653779,-122.590813,1992,201,0,3,0,0,3,* throat
153576,San Juan,48.577,-123.05,2013,200,0,0,0,1,1,right pect
45296,Dabob Bay,47.8,-122.8,1987,157,0,0,0,0,0,
45296,Dabob Bay,47.8,-122.8,1987,158,0,0,0,0,0,
111229,Port Madison,47.73333333,-122.5166667,1989,230,3,3,0,2,8,
111229,Port Madison,47.73333333,-122.5166667,1989,207,0,0,0,0,0,
111229,Port Madison,47.73333333,-122.5166667,1989,185,0,0,0,0,0,
111229,Port Madison,47.73333333,-122.5166667,1989,187,0,0,0,0,0,
44478,Bainbridge east,47.6451,-122.484492,2001,185,0,0,0,0,0,
44478,Bainbridge east,47.6451,-122.484492,2001,180,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,176,0,0,0,0,0,
44066,San Juan-lopez island,48.571686,-122.893078,1979,191,0,0,0,0,0,
44066,San Juan-lopez island,48.571686,-122.893078,1979,148,0,0,0,0,0,
111793,Golden Garden,47.689107,-122.42914,2004,245,0,1,0,0,1,*
111793,Golden Garden,47.689107,-122.42914,2004,228,0,0,0,0,0,*
155001,San Juan-FHL,48.557106,-123.003753,2014,172,0,0,0,0,0,
155001,San Juan-FHL,48.557106,-123.003753,2014,192,0,0,0,0,0,
47311,Port Madison,47.71518,-122.516214,2003,265,0,1,0,0,1,*
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,175,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,161,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,149,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,131,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,115,0,0,0,0,0,
154466,San Juan-shoal bay,48.57918333,-122.8763667,2008,101,0,0,0,0,0,
45296,Dabob Bay,47.8,-122.8,1987,142,0,0,0,0,0,
45296,Dabob Bay,47.8,-122.8,1987,146,0,0,0,0,0,
45296,Dabob Bay,47.8,-122.8,1987,122,0,0,0,0,0,
45296,Dabob Bay,47.8,-122.8,1987,112,0,0,0,0,0,
